2	144
3	96
4	95
6	140
8	153
12	62
11	101
13	158
14	122
16	53
18	110
20	194
21	133
23	126
24	156
26	119
28	83
29	52
31	114
33	159
34	84
36	136
38	191
39	148
41	89
42	209
44	211
46	184
47	196
49	220
51	197
52	215
54	189
55	184
57	212
59	208
60	198
62	185
64	188
65	193
67	220
69	220
70	190
72	208
73	214
75	207
77	211
78	200
80	188
82	186
83	259
85	267
87	260
88	291
90	296
91	237
93	297
95	267
96	263
98	279
100	272
101	299
103	255
104	295
106	248
108	312
109	231
111	392
113	240
114	427
116	336
118	238
119	480
121	423
122	378
124	349
126	247
127	493
129	496
131	394
132	568
134	581
136	778
137	663
139	684
140	658
142	521
144	651
145	630
147	796
149	556
150	539
152	787
153	666
155	691
157	583
158	582
160	747
162	709
163	780
165	632
167	627
168	684
170	521
171	684
173	525
175	717
176	589
178	608
180	718
181	640
183	713
185	677
186	766
188	752
189	666
191	729
193	746
194	733
196	642
198	607
199	765
201	652
202	759
204	789
206	611
207	736
209	668
211	612
212	696
214	678
216	693
217	885
219	780
220	823
222	880
224	845
225	775
227	771
229	790
230	852
232	818
234	825
235	794
237	877
238	864
240	854
242	766
243	785
245	864
247	876
248	885
250	779
251	849
253	764
255	862
256	853
258	840
260	856
261	830
263	841
265	809
266	851
268	758
269	899
271	758
273	858
274	820
276	972
278	998
279	956
281	935
283	905
284	913
286	949
287	976
289	954
291	922
292	945
294	916
296	945
297	931
299	938
300	993
302	975
304	973
305	925
307	960
309	911
310	908
312	936
314	917
315	971
317	922
318	919
320	923
322	973
323	969
325	990
327	902
